log,class
Suspicious SQL query detected: SELECT * FROM users. Potential injection attempt on http://malicious.com from IP 192.168.1.1. Database: user_db.,SQL Injection
Login page access from unknown device USB3. Suspicious activity detected from IP 192.168.1.1.,Phishing and Credential Harvesting
User user1 attempted to disable security settings. Action: login. IP: 192.168.1.1.,Benign
Suspicious activity on unpatched software version 1.0. Zero-day vulnerability exploited.,Zero-Day Exploit
Login page access from unknown device USB3. Suspicious activity detected from IP 192.168.1.1.,Phishing and Credential Harvesting
User credentials submitted to untrusted domain malicious.com. Phishing attempt detected from IP 192.168.1.1.,Phishing and Credential Harvesting
Connection established with server server1 at IP 192.168.1.1. Protocol: HTTP.,Benign
Data leakage attempt on endpoint http://malicious.com. Data exfiltration detected. Action: Blocked.,Data Exfiltration
SSL certificate mismatch detected for domain malicious.com. Possible MITM attack attempt identified.,Man-in-the-Middle (MITM)
Unauthorized access to table users_table detected. User: user1. Action: login.,Benign
Suspicious proxy server detected at IP 192.168.1.1. Possible MITM attack underway on web_service.,Man-in-the-Middle (MITM)
Unrecognized exploit detected in service web_service. Zero-day exploit attempt detected from IP 192.168.1.1.,Zero-Day Exploit
User user1 attempted to access phishing domain malicious.com. Access attempt blocked. IP: 192.168.1.1.,Benign
Unusual activity detected for user user1. Multiple restricted file access attempts flagged.,Insider Threats
User user1 attempted to disable security settings. Unauthorized action logged for review.,Benign
Large data transfer detected to IP 192.168.1.1. Suspicious activity related to data exfiltration. File: logfile.log.,Data Exfiltration
Suspicious activity on unpatched software version 1.0. Zero-day vulnerability exploited.,Zero-Day Exploit
Suspicious SQL query detected: SELECT * FROM users. Potential injection attempt on http://malicious.com from IP 192.168.1.1. Database: user_db.,SQL Injection
Unusual activity detected for user user1. Multiple restricted file access attempts flagged.,Insider Threats
Sanitized user input containing script: malicious_script.sh. Potential XSS attempt mitigated on endpoint http://malicious.com.,Benign
Suspicious proxy server detected at IP 192.168.1.1. Possible MITM attack underway on web_service.,Man-in-the-Middle (MITM)
Antivirus scan failed on file logfile.log. Reason: kernel panic. Action: login.,Benign
Load balancer mitigated traffic surge on web_service. Connection attempts from IP 192.168.1.1 exceeded threshold.,Benign
"Access granted to restricted resource resource1. User: user1, Device: USB1.",Benign
Large data transfer detected to IP 192.168.1.1. Suspicious activity related to data exfiltration. File: logfile.log.,Data Exfiltration
Privilege escalation attempt detected for user user1. Unauthorized command executed: rm -rf /.,Privilege Escalation
Suspicious script detected in user input: malicious_script.sh. XSS attack attempt blocked on page http://malicious.com.,Cross-Site Scripting (XSS)
User user1 added to admin group. Unexpected modification to group memberships detected.,Benign
"Access granted to restricted resource resource1. User: user1, Device: USB1.",Benign
Suspicious SQL query detected: SELECT * FROM users. Potential injection attempt on http://malicious.com from IP 192.168.1.1. Database: user_db.,SQL Injection
Suspicious script detected in user input: malicious_script.sh. XSS attack attempt blocked on page http://malicious.com.,Cross-Site Scripting (XSS)
Load balancer mitigated traffic surge on web_service. Connection attempts from IP 192.168.1.1 exceeded threshold.,Benign
Redirect detected to untrusted domain malicious.com. User user1 potentially targeted by phishing attempt.,Phishing via Malicious Links
Sudo access denied for user user1. Privilege escalation attempt logged and blocked.,Privilege Escalation
User user1 attempted to access restricted directory /home/user1. Directory traversal attempt logged.,Benign
Session token replay detected for user user1. Risk of MITM attack identified and blocked.,Benign
SSL certificate mismatch detected for domain malicious.com. Possible MITM attack attempt identified.,Man-in-the-Middle (MITM)
Possible CSRF attack detected from IP 192.168.1.1. Invalid token detected for user user1 on action: login.,Cross-Site Request Forgery (CSRF)
Cron job backup_job failed. Error message: kernel panic. Action: login.,Benign
User user1 added to admin group. Unexpected modification to group memberships detected.,Benign
Cron job backup_job failed. Error message: kernel panic. Action: login.,Benign
SQL Injection attempt on endpoint http://malicious.com from IP 192.168.1.1. Query: SELECT * FROM users. Action: Blocked.,SQL Injection
High traffic detected from IP 192.168.1.1. Service web_service on server1 under threat of overload.,Distributed Denial of Service (DDoS)
Malware signature detected in file logfile.log. Quarantine action initiated. IP: 192.168.1.1.,Malware and Ransomware
Request blocked due to suspicious parameters: param1=value1. Possible XSS injection attempt detected.,Cross-Site Scripting (XSS)
Data leakage attempt on endpoint http://malicious.com. Data exfiltration detected. Action: Blocked.,Data Exfiltration
Table users_table updated in database user_db. Query: SELECT * FROM users.,Benign
Multiple failed login attempts detected for user user1 from IP 192.168.1.1. Action: Account lock triggered. Device: USB3.,Brute Force Attack
Request blocked due to suspicious parameters: param1=value1. Possible XSS injection attempt detected.,Cross-Site Scripting (XSS)
Session token replay detected for user user1. Risk of MITM attack identified and blocked.,Benign
User input contains potentially harmful SQL: input_data. Query: SELECT * FROM users. Risk of data breach identified.,Benign
Untrusted code execution attempt detected from IP 192.168.1.1. Possible remote code execution (RCE) attack on web_service.,Remote Code Execution (RCE)
User user1 attempted to access restricted resource resource1. Attempted action: login.,Benign
User user1 from IP 192.168.1.1 failed to log in. Multiple failed attempts detected. Account may be locked soon. Error: kernel panic.,Benign
Exploit attempt using relative path: /usr/local/bin. Directory traversal detected. Access blocked.,Directory Traversal
Database user_db access attempt failed. SQL query rejected due to suspicious patterns. Query: SELECT * FROM users.,Benign
Connection established with server server1 at IP 192.168.1.1. Protocol: HTTP.,Benign
Suspicious SQL query detected: SELECT * FROM users. Potential injection attempt on http://malicious.com from IP 192.168.1.1. Database: user_db.,SQL Injection
Insufficient permissions to access file logfile.log. Error message: kernel panic.,Benign
Query execution failed: SELECT * FROM users. Database: user_db. Error: kernel panic.,Benign
User input contains potentially harmful SQL: input_data. Query: SELECT * FROM users. Risk of data breach identified.,Benign
Suspicious file path traversal attempt detected: /path/to/file. Possible directory traversal exploit detected.,Directory Traversal
Malware signature detected in file logfile.log. Quarantine action initiated. IP: 192.168.1.1.,Malware and Ransomware
Error loading module mod1. Error message: kernel panic. Action: login.,Benign
User user1 accessed confidential file logfile.log. Suspicious access to sensitive data detected.,Benign
User user1 attempted to disable security settings. Action: login. IP: 192.168.1.1.,Benign
Email from user1@example.com contained malicious URL. Link flagged for phishing attempt.,Benign
SSL certificate mismatch detected for domain malicious.com. Possible MITM attack attempt identified.,Man-in-the-Middle (MITM)
Kernel panic occurred. Error: kernel panic. Possible system instability detected.,Benign
Connection intercepted from IP 192.168.1.1. Potential MITM attack detected on HTTP.,Man-in-the-Middle (MITM)
User user1 attempted to disable security settings. Unauthorized action logged for review.,Benign
Possible CSRF attack detected from IP 192.168.1.1. Invalid token detected for user user1 on action: login.,Cross-Site Request Forgery (CSRF)
Intrusion detected: Buffer overflow vulnerability in the HTTP server.. IP: 192.168.1.1. Device: USB3. Immediate action taken.,Benign
User credentials submitted to untrusted domain malicious.com. Phishing attempt detected from IP 192.168.1.1.,Phishing and Credential Harvesting
Malware signature detected in file logfile.log. Quarantine action initiated. IP: 192.168.1.1.,Malware and Ransomware
Privilege escalation attempt detected for user user1. Action: login. Device: USB1.,Privilege Escalation
Suspicious file path traversal attempt detected: /path/to/file. Possible directory traversal exploit detected.,Directory Traversal
SQL Injection attempt on endpoint http://malicious.com from IP 192.168.1.1. Query: SELECT * FROM users. Action: Blocked.,SQL Injection
Failed login attempt by user user1. Attempted using USB1. Error message: kernel panic.,Benign
User user1 attempted to disable security settings. Action: login. IP: 192.168.1.1.,Benign
SQL syntax error detected in query: SELECT * FROM users. Possible SQL injection attempt from IP 192.168.1.1.,SQL Injection
Unrecognized exploit detected in service web_service. Zero-day exploit attempt detected from IP 192.168.1.1.,Zero-Day Exploit
Emergency patch applied to mitigate exploit. Vulnerability identified on web_service.,Benign
File logfile.log deleted by user user1. Deletion reason: Access denied.,Benign
Error opening file logfile.log. Reason: kernel panic. Action: login.,Benign
User user1 attempted to access restricted resource resource1. Attempted action: login.,Benign
Printer printer1 is out of paper. Action required: login.,Benign
Service web_service is unreachable due to heavy traffic. Load spikes from IP range 192.168.1.0/24.,Benign
Attempt to overwrite read-only file logfile.log. Action: login. Error: kernel panic.,Benign
User user1 logged out. Reason: Access denied. Process ID: 12345.,Benign
SSL certificate mismatch detected for domain malicious.com. Possible MITM attack attempt identified.,Man-in-the-Middle (MITM)
Suspicious outbound connection detected to IP 192.168.1.1. Destination port: 8080. Possible data exfiltration.,Benign
Connection established with server server1 at IP 192.168.1.1. Protocol: HTTP.,Benign
Load balancer mitigated traffic surge on web_service. Connection attempts from IP 192.168.1.1 exceeded threshold.,Benign
User user1 attempted to access phishing domain malicious.com. Access attempt blocked. IP: 192.168.1.1.,Benign
Unencrypted data transfer detected on HTTP. Risk of MITM attack identified from IP 192.168.1.1.,Man-in-the-Middle (MITM)
Large volume of files deleted by user user1. Risk of data loss from insider threat detected.,Insider Threats
"Access granted to restricted resource resource1. User: user1, Device: USB1.",Benign
Login page access from unknown device USB3. Suspicious activity detected from IP 192.168.1.1.,Phishing and Credential Harvesting
File logfile.log deleted by user user1. Deletion reason: Access denied.,Benign
Query execution failed: SELECT * FROM users. Database: user_db. Error: kernel panic.,Benign
User user1 added to admin group. Unexpected modification to group memberships detected.,Benign
Suspicious request received for sensitive action: login. CSRF attack attempt blocked for user user1.,Benign
Possible CSRF attack detected from IP 192.168.1.1. Invalid token detected for user user1 on action: login.,Cross-Site Request Forgery (CSRF)
File logfile.log deleted by user user1. Deletion reason: Access denied.,Benign
User user1 added to admin group. Unexpected modification to group memberships detected.,Benign
User user1 added to admin group. Unexpected modification to group memberships detected.,Benign
Privilege escalation attempt detected for user user1. Unauthorized command executed: rm -rf /.,Privilege Escalation
User user1 downloaded file from malicious link http://malicious.com. Possible malware infection detected.,Benign
Recurring task backup_task terminated unexpectedly. Error message: kernel panic.,Benign
File logfile.log accessed by user user1. Unauthorized access attempt identified and flagged.,Benign
Database user_db access attempt failed. SQL query rejected due to suspicious patterns. Query: SELECT * FROM users.,Benign
User user1 downloaded file from malicious link http://malicious.com. Possible malware infection detected.,Benign
Printer printer1 is out of paper. Action required: login.,Benign
Printer printer1 is out of paper. Action required: login.,Benign
Untrusted code execution attempt detected from IP 192.168.1.1. Possible remote code execution (RCE) attack on web_service.,Remote Code Execution (RCE)
Link http://malicious.com flagged by antivirus software. Suspicious activity detected from IP 192.168.1.1.,Benign
Possible CSRF attack detected from IP 192.168.1.1. Invalid token detected for user user1 on action: login.,Cross-Site Request Forgery (CSRF)
Request token mismatch detected for user user1. CSRF prevention triggered on action: login.,Cross-Site Request Forgery (CSRF)
Suspicious activity on unpatched software version 1.0. Zero-day vulnerability exploited.,Zero-Day Exploit
Possible XSS attack on page http://malicious.com by IP 192.168.1.1. Script payload: malicious_script.sh. Action: Blocked.,Cross-Site Scripting (XSS)
Connection established with server server1 at IP 192.168.1.1. Protocol: HTTP.,Benign
Malicious script executed from file logfile.log. Remote code execution attempt identified and blocked.,Privilege Escalation
User user1 downloaded file from malicious link http://malicious.com. Possible malware infection detected.,Benign
User input contains potentially harmful SQL: input_data. Query: SELECT * FROM users. Risk of data breach identified.,Benign
FTP transfer completed successfully from IP 192.168.1.1 to server2. File: logfile.log.,Benign
Process 12345 executed with parameters: param1=value1. Potential RCE detected from IP 192.168.1.1.,Benign
Unauthorized access to configuration file logfile.log. Attempted directory traversal detected.,Benign
Insufficient permissions to access file logfile.log. Error message: kernel panic.,Benign
Suspicious request received for sensitive action: login. CSRF attack attempt blocked for user user1.,Benign
Exploit attempt using relative path: /usr/local/bin. Directory traversal detected. Access blocked.,Directory Traversal
User input contains potentially harmful SQL: input_data. Query: SELECT * FROM users. Risk of data breach identified.,Benign
FTP transfer completed successfully from IP 192.168.1.1 to server2. File: logfile.log.,Benign
Repeated password guesses detected from IP 192.168.1.1. Suspicious activity logged. User user1 at risk of account compromise.,Brute Force Attack
Sanitized user input containing script: malicious_script.sh. Potential XSS attempt mitigated on endpoint http://malicious.com.,Benign
Cron job backup_job started. Job initiated by user user1. Command: rm -rf /.,Benign
Antivirus scan failed on file logfile.log. Reason: kernel panic. Action: login.,Benign
File logfile.log accessed by user user1. Unauthorized access attempt identified and flagged.,Benign
High traffic detected on port 8080. Source IP: 192.168.1.1. Possible DDoS attack.,Distributed Denial of Service (DDoS)
Suspicious executable logfile.log uploaded by user user1. File flagged for potential malware risk.,Malware and Ransomware
Possible CSRF attack detected from IP 192.168.1.1. Invalid token detected for user user1 on action: login.,Cross-Site Request Forgery (CSRF)
User user1 attempted to disable security settings. Action: login. IP: 192.168.1.1.,Benign
Load balancer mitigated traffic surge on web_service. Connection attempts from IP 192.168.1.1 exceeded threshold.,Benign
Table users_table updated in database user_db. Query: SELECT * FROM users.,Benign
Intrusion detected: Buffer overflow vulnerability in the HTTP server.. IP: 192.168.1.1. Device: USB3. Immediate action taken.,Benign
Malicious script executed from file logfile.log. Remote code execution attempt identified and blocked.,Privilege Escalation
Link http://malicious.com flagged by antivirus software. Suspicious activity detected from IP 192.168.1.1.,Benign
"Access granted to restricted resource resource1. User: user1, Device: USB1.",Benign
Unauthorized SSH login attempt from IP 192.168.1.1. Attempted user: user1. Action taken: login.,Brute Force Attack
Data leakage attempt on endpoint http://malicious.com. Data exfiltration detected. Action: Blocked.,Data Exfiltration
Email from user1@example.com contained malicious URL. Link flagged for phishing attempt.,Benign
Possible CSRF attack detected from IP 192.168.1.1. Invalid token detected for user user1 on action: login.,Cross-Site Request Forgery (CSRF)
Service web_service is unreachable due to heavy traffic. Load spikes from IP range 192.168.1.0/24.,Benign
Suspicious file path traversal attempt detected: /path/to/file. Possible directory traversal exploit detected.,Directory Traversal
CSRF protection activated for endpoint http://malicious.com. Suspicious request from IP 192.168.1.1 logged.,Cross-Site Request Forgery (CSRF)
Session token replay detected for user user1. Risk of MITM attack identified and blocked.,Benign
Request token mismatch detected for user user1. CSRF prevention triggered on action: login.,Cross-Site Request Forgery (CSRF)
Request blocked due to suspicious parameters: param1=value1. Possible XSS injection attempt detected.,Cross-Site Scripting (XSS)
Antivirus scan failed on file logfile.log. Reason: kernel panic. Action: login.,Benign
Multiple failed login attempts detected for user user1. Action: login. IP: 192.168.1.1.,Brute Force Attack
Remote code execution exploit on service web_service detected. Exploit attempt from IP 192.168.1.1.,Remote Code Execution (RCE)
Sanitized user input containing script: malicious_script.sh. Potential XSS attempt mitigated on endpoint http://malicious.com.,Benign
Antivirus quarantined file logfile.log due to detected malware signature. Path: /path/to/file.,Benign
Unrecognized exploit detected in service web_service. Zero-day exploit attempt detected from IP 192.168.1.1.,Zero-Day Exploit
Suspicious proxy server detected at IP 192.168.1.1. Possible MITM attack underway on web_service.,Man-in-the-Middle (MITM)
High traffic detected on port 8080. Source IP: 192.168.1.1. Possible DDoS attack.,Distributed Denial of Service (DDoS)
Ransomware detected on device USB1. File encryption detected: logfile.log. Immediate action: login.,Benign
User user1 attempted to disable security settings. Action: login. IP: 192.168.1.1.,Benign
Firewall blocked IP 192.168.1.1 for excessive requests. High traffic detected on web_service. Action: Mitigated.,Distributed Denial of Service (DDoS)
Sanitized user input containing script: malicious_script.sh. Potential XSS attempt mitigated on endpoint http://malicious.com.,Benign
Vulnerability CVE-2024-12345 exploited on server server1. Zero-day attack detected.,Benign
Suspicious file path traversal attempt detected: /path/to/file. Possible directory traversal exploit detected.,Directory Traversal
Remote code execution exploit on service web_service detected. Exploit attempt from IP 192.168.1.1.,Remote Code Execution (RCE)
Failed to initialize database connection. Error: connection failure. Application: malicious_app.,Benign
Suspicious email detected with subject: Suspicious activity alert. Phishing attempt suspected. Sender: user1@example.com.,Phishing and Credential Harvesting
Intrusion detected: Buffer overflow vulnerability in the HTTP server.. IP: 192.168.1.1. Device: USB3. Immediate action taken.,Benign
Email from user1@example.com flagged as potential phishing attempt. Subject: Suspicious activity alert. Action: Blocked.,Benign
Suspicious request received for sensitive action: login. CSRF attack attempt blocked for user user1.,Benign
Repeated password guesses detected from IP 192.168.1.1. Suspicious activity logged. User user1 at risk of account compromise.,Brute Force Attack
Process 12345 executed with unauthorized privileges. Attempted escalation of user user1 rights.,Benign
Error opening file logfile.log. Reason: kernel panic. Action: login.,Benign
Multiple failed login attempts detected for user user1. Action: login. IP: 192.168.1.1.,Brute Force Attack
Untrusted code execution attempt detected from IP 192.168.1.1. Possible remote code execution (RCE) attack on web_service.,Remote Code Execution (RCE)
Exploit attempt using relative path: /usr/local/bin. Directory traversal detected. Access blocked.,Directory Traversal
User input contains potentially harmful SQL: input_data. Query: SELECT * FROM users. Risk of data breach identified.,Benign
CSRF protection activated for endpoint http://malicious.com. Suspicious request from IP 192.168.1.1 logged.,Cross-Site Request Forgery (CSRF)
File logfile.log accessed by user user1. Unauthorized access attempt identified and flagged.,Benign
Unauthorized SSH login attempt from IP 192.168.1.1. Attempted user: user1. Action taken: login.,Brute Force Attack
Malware signature detected in file logfile.log. Quarantine action initiated. IP: 192.168.1.1.,Malware and Ransomware
Unauthorized SSH login attempt from IP 192.168.1.1. Attempted user: user1. Action taken: login.,Brute Force Attack
Multiple connection attempts from IP range 192.168.1.0/24 detected. DDoS potential. Firewall engaged.,Distributed Denial of Service (DDoS)
SQL syntax error detected in query: SELECT * FROM users. Possible SQL injection attempt from IP 192.168.1.1.,SQL Injection
User user1 clicked suspicious link: http://malicious.com. Phishing attempt detected and blocked.,Benign
Vulnerability CVE-2024-12345 exploited on server server1. Zero-day attack detected.,Benign
Load balancer mitigated traffic surge on web_service. Connection attempts from IP 192.168.1.1 exceeded threshold.,Benign
Ransomware detected on device USB1. File encryption detected: logfile.log. Immediate action: login.,Benign
Unknown behavior detected in process 12345. Possible zero-day exploit detected.,Benign
Failed to initialize database connection. Error: connection failure. Application: malicious_app.,Benign
Suspicious email detected with subject: Suspicious activity alert. Phishing attempt suspected. Sender: user1@example.com.,Phishing and Credential Harvesting
CSRF protection activated for endpoint http://malicious.com. Suspicious request from IP 192.168.1.1 logged.,Cross-Site Request Forgery (CSRF)
User credentials submitted to untrusted domain malicious.com. Phishing attempt detected from IP 192.168.1.1.,Phishing and Credential Harvesting
Malware signature detected in file logfile.log. Quarantine action initiated. IP: 192.168.1.1.,Malware and Ransomware
Service web_service is unreachable due to heavy traffic. Load spikes from IP range 192.168.1.0/24.,Benign
SQL query executed: SELECT * FROM users. Database: user_db. Table: users_table.,Benign
User user1 from IP 192.168.1.1 failed to log in. Multiple failed attempts detected. Account may be locked soon. Error: kernel panic.,Benign
Large data transfer detected to IP 192.168.1.1. Suspicious activity related to data exfiltration. File: logfile.log.,Data Exfiltration
Email from user1@example.com flagged as potential phishing attempt. Subject: Suspicious activity alert. Action: Blocked.,Benign
User user1 added to admin group. Unexpected modification to group memberships detected.,Benign
Sudo access denied for user user1. Privilege escalation attempt logged and blocked.,Privilege Escalation
"Access granted to restricted resource resource1. User: user1, Device: USB1.",Benign
FTP transfer completed successfully from IP 192.168.1.1 to server2. File: logfile.log.,Benign
Suspicious activity on unpatched software version 1.0. Zero-day vulnerability exploited.,Zero-Day Exploit
User user1 authentication failed: Access denied. IP: 192.168.1.1. Action: login.,Benign
Shell command injection attempt detected: rm -rf /. IP 192.168.1.1. Possible RCE exploit.,SQL Injection
File logfile.log accessed by user user1. Unauthorized access attempt identified and flagged.,Benign
User user1 accessed restricted resource resource1. Potential insider threat detected.,Benign
Insufficient permissions to access file logfile.log. Error message: kernel panic.,Benign
Suspicious email detected with subject: Suspicious activity alert. Phishing attempt suspected. Sender: user1@example.com.,Phishing and Credential Harvesting
Login page access from unknown device USB3. Suspicious activity detected from IP 192.168.1.1.,Phishing and Credential Harvesting
Process 12345 executed with parameters: param1=value1. Potential RCE detected from IP 192.168.1.1.,Benign
User user1 attempted to access restricted directory /home/user1. Directory traversal attempt logged.,Benign
Query execution failed: SELECT * FROM users. Database: user_db. Error: kernel panic.,Benign
Unauthorized SSH login attempt from IP 192.168.1.1. Attempted user: user1. Action taken: login.,Brute Force Attack
Unencrypted data transfer detected on HTTP. Risk of MITM attack identified from IP 192.168.1.1.,Man-in-the-Middle (MITM)
Privilege escalation attempt detected for user user1. Unauthorized command executed: rm -rf /.,Privilege Escalation
User user1 from IP 192.168.1.1 failed to log in. Multiple failed attempts detected. Account may be locked soon. Error: kernel panic.,Benign
User user1 authentication failed: Access denied. IP: 192.168.1.1. Action: login.,Benign
File logfile.log deleted by user user1. Deletion reason: Access denied.,Benign
User user1 attempted to access restricted resource resource1. Attempted action: login.,Benign
Ransomware detected on device USB1. File encryption detected: logfile.log. Immediate action: login.,Benign
Emergency patch applied to mitigate exploit. Vulnerability identified on web_service.,Benign
User user1 accessed confidential file logfile.log. Suspicious access to sensitive data detected.,Benign
Database user_db access attempt failed. SQL query rejected due to suspicious patterns. Query: SELECT * FROM users.,Benign
Repeated password guesses detected from IP 192.168.1.1. Suspicious activity logged. User user1 at risk of account compromise.,Brute Force Attack
Untrusted code execution attempt detected from IP 192.168.1.1. Possible remote code execution (RCE) attack on web_service.,Remote Code Execution (RCE)
Process 12345 executed with unauthorized privileges. Attempted escalation of user user1 rights.,Benign
Suspicious request received for sensitive action: login. CSRF attack attempt blocked for user user1.,Benign
